,regret_factor,emotion_joy,emotion_anger,emotion_surprise,emotion_disgust,emotion_sadness,emotion_shame,emotion_fear,bentham_intensity,bentham_duration,bentham_certainty,bentham_propinquity,surd_selection,surd_uncertainty,surd_risk,surd_decision
regret_factor,1.0,-0.16524941912882077,-0.0054481168564802715,0.20028502181201438,-0.08794487731292853,0.353794446847077,-0.2705951319183851,-0.05568805332533911,0.11462280865757762,0.08769869033695575,-0.17427119453018225,-0.08708103683273519,-0.07808709886433975,0.32014753229559895,0.28242545477604686,0.22121887826114114
emotion_joy,-0.16524941912882077,1.0,0.46177385413500877,-0.22118388916093734,-0.00371057237639616,-0.44692545831869757,-0.4366886576397594,-0.40006959061666203,-0.23586069943913446,-0.06277369141370293,-0.10355814080489116,-0.036794800613576845,0.23667766002031623,-0.0822950077940729,-0.29753151983252135,-0.14675664168057953
emotion_anger,-0.0054481168564802715,0.46177385413500877,1.0,-0.07948034622533251,-0.17855056659498014,-0.16185997325124513,-0.5241020492586407,-0.4896456984948669,-0.3095088748494057,0.08653539841790289,-0.21808662955317332,-0.05742697788379428,0.1219277449232423,0.1288950088838936,-0.1809408355625051,-0.03192791265467423
emotion_surprise,0.20028502181201438,-0.22118388916093734,-0.07948034622533251,1.0,0.10436950482566429,-0.0809107639591697,-0.3509047110235522,-0.3246004841647957,0.12880878637771664,0.09718092996029852,-0.2980130790148082,-0.0054304971956374804,-0.10206808100084236,0.4816417337237928,0.4513737821262656,0.24590784495246718
emotion_disgust,-0.08794487731292853,-0.00371057237639616,-0.17855056659498014,0.10436950482566429,1.0,-0.3520830481535836,-0.07245271143366727,-0.21073660115728096,-0.08318923730894233,-0.35326016866184184,-0.020950699466625332,0.04147970274454615,-0.0025758781303123015,0.0790464920799297,-0.025006018458093977,-0.20465555297397783
emotion_sadness,0.353794446847077,-0.44692545831869757,-0.16185997325124513,-0.0809107639591697,-0.3520830481535836,1.0,-0.0856369113495859,-0.02965822707829318,0.16499873152691297,0.2827947025207839,0.009314188747515089,-0.12274442454762538,-0.25362883714677564,0.1356386851279228,0.10895584726565317,0.1709143844907008
emotion_shame,-0.2705951319183851,-0.4366886576397594,-0.5241020492586407,-0.3509047110235522,-0.07245271143366727,-0.0856369113495859,1.0,0.43777565006613006,0.07789315493323207,-0.06984640733430582,0.3594660048845416,0.1019029219080474,0.00044053242034980617,-0.40551285117996977,-0.06276756402852098,-0.08171106414094037
emotion_fear,-0.05568805332533911,-0.40006959061666203,-0.4896456984948669,-0.3246004841647957,-0.21073660115728096,-0.02965822707829318,0.43777565006613006,1.0,0.21795414115471326,-0.09313095009218982,0.2528546102086009,0.10345090905547477,0.007275298402754269,-0.30389718872029015,0.006927462726537635,-0.009183128294987896
bentham_intensity,0.11462280865757762,-0.23586069943913446,-0.3095088748494057,0.12880878637771664,-0.08318923730894233,0.16499873152691297,0.07789315493323207,0.21795414115471326,1.0,0.3905772960645004,0.08842491298490386,0.05894729755475719,-0.18096620686623602,0.12193947865990667,0.5497628649803382,0.5027237315978239
bentham_duration,0.08769869033695575,-0.06277369141370293,0.08653539841790289,0.09718092996029852,-0.35326016866184184,0.2827947025207839,-0.06984640733430582,-0.09313095009218982,0.3905772960645004,1.0,-0.03155926771221508,-0.1634937435782605,-0.14040694595150247,0.17686193163591787,0.36900483126187744,0.48444420025397883
bentham_certainty,-0.17427119453018225,-0.10355814080489116,-0.21808662955317332,-0.2980130790148082,-0.020950699466625332,0.009314188747515089,0.3594660048845416,0.2528546102086009,0.08842491298490386,-0.03155926771221508,1.0,0.10014232845271323,-0.07442605088682253,-0.6476049129987929,-0.1482208871229602,-0.11635640124321896
bentham_propinquity,-0.08708103683273519,-0.036794800613576845,-0.05742697788379428,-0.0054304971956374804,0.04147970274454615,-0.12274442454762538,0.1019029219080474,0.10345090905547477,0.05894729755475719,-0.1634937435782605,0.10014232845271323,1.0,0.037369583238257745,-0.05323748921753609,0.022188677475916546,0.04576710145398804
surd_selection,-0.07808709886433975,0.23667766002031623,0.1219277449232423,-0.10206808100084236,-0.0025758781303123015,-0.25362883714677564,0.00044053242034980617,0.007275298402754269,-0.18096620686623602,-0.14040694595150247,-0.07442605088682253,0.037369583238257745,1.0,-0.20994391236287166,-0.14973885034742457,0.12312432224974018
surd_uncertainty,0.32014753229559895,-0.0822950077940729,0.1288950088838936,0.4816417337237928,0.0790464920799297,0.1356386851279228,-0.40551285117996977,-0.30389718872029015,0.12193947865990667,0.17686193163591787,-0.6476049129987929,-0.05323748921753609,-0.20994391236287166,1.0,0.4241002895535594,0.24065499110935581
surd_risk,0.28242545477604686,-0.29753151983252135,-0.1809408355625051,0.4513737821262656,-0.025006018458093977,0.10895584726565317,-0.06276756402852098,0.006927462726537635,0.5497628649803382,0.36900483126187744,-0.1482208871229602,0.022188677475916546,-0.14973885034742457,0.4241002895535594,1.0,0.5993654177963899
surd_decision,0.22121887826114114,-0.14675664168057953,-0.03192791265467423,0.24590784495246718,-0.20465555297397783,0.1709143844907008,-0.08171106414094037,-0.009183128294987896,0.5027237315978239,0.48444420025397883,-0.11635640124321896,0.04576710145398804,0.12312432224974018,0.24065499110935581,0.5993654177963899,1.0
